metric,score
faithfulness,0.865193
answer_relevancy,0.808536
context_precision,0.767489
context_recall,0.793927
average_latency_ms,20739.281340
p50_latency_ms,16654.118500
p95_latency_ms,31987.805600
p99_latency_ms,76134.405480
average_retrieval_latency_ms,1144.878900
p50_retrieval_latency_ms,1051.868500
p95_retrieval_latency_ms,1422.623300
p99_retrieval_latency_ms,4001.542460
average_context_expansion_latency_ms,0.001360
p50_context_expansion_latency_ms,0.001000
p95_context_expansion_latency_ms,0.002550
p99_context_expansion_latency_ms,0.006510
average_memory_retrieval_latency_ms,0.001600
p50_memory_retrieval_latency_ms,0.001000
p95_memory_retrieval_latency_ms,0.002000
p99_memory_retrieval_latency_ms,0.009510
average_llm_latency_ms,16310.781760
p50_llm_latency_ms,13960.809500
p95_llm_latency_ms,29201.431400
p99_llm_latency_ms,34748.110170
average_memory_write_latency_ms,
p50_memory_write_latency_ms,
p95_memory_write_latency_ms,
p99_memory_write_latency_ms,
average_input_tokens,1645.140000
average_output_tokens,522.180000
average_total_tokens,2167.320000
average_tokens_per_second,27.141320
success_rate,1.000000
error_rate,0.000000
